access,releaseLocation,editor,doi_a,topic,fk_mag,title,presentationName,releaseDate,FK_author,,,,,,
Audio,"Erickson, Shepherds  Route 1057740437, Tallahassee, AGO 0000",Vodafone,10.2110/379176,medicine,2323-4563,The Microbiome-Gut-Brain axis regulates social cognition & craving in young binge drinkers,The Microbiome-Gut-Brain axis regulates social cognition & craving in young binge drinkers,2023-02-02 17:06:07Z,1,,,,,,
Audio,"CarMax, South Tunnel 366594975, Las Vegas, ISR 0000",Biolife Grup,10.2053/446989,medicine,2323-4563,VPS35 promotes cell proliferation via EGFR recycling and enhances EGFR inhibitors response in gastric cancer,VPS35 promotes cell proliferation via EGFR recycling and enhances EGFR inhibitors response in gastric cancer,2023-02-02 22:18:56Z,2,,,,,,
Audio,"Comodo, Egerton  Crossroad 1855972806, Long Beach, ETH 0000",21st Century Fox,10.5849/01262,medicine,0000-0051,Depressive symptoms among adults in 2018–2019 and during the 2020 COVID-19 pandemic in Italy,Depressive symptoms among adults in 2018–2019 and during the 2020 COVID-19 pandemic in Italy,1993-11-11 07:42:24Z,3,,,,,,
Audio,"Erickson, Arbutus   Way 2090551461, Phoenix, FLK 0000",DynCorp,10.1773/895169,science,2323-4563,"Antimicrobial susceptibility of bacterial isolates from clinical specimens in four Pacific Island countries, 2017–2021","Antimicrobial susceptibility of bacterial isolates from clinical specimens in four Pacific Island countries, 2017–2021",2023-02-02 14:33:47Z,4,,,,,,
Audio,"21st Century Fox, English   Boulevard 678937921, Saint Paul, FIN 0000",Demaco,10.9727/65895,medicine,0000-0019,Electronic cigarette use as an aid to quit smoking in the representative Italian population Passi survey,Electronic cigarette use as an aid to quit smoking in the representative Italian population Passi survey,2018-05-14 15:20:18Z,5,,,,,,
Audio,"It Smart Group, Bermondsey    Grove 1188993908, Milwaukee, ESH 0000",It Smart Group,10.8391/53086,medicine,0000-0027,Using the Italian Surveillance System (Passi) as a model to track health conditions and risk behaviors in Corsica,Using the Italian Surveillance System (Passi) as a model to track health conditions and risk behaviors in Corsica,2008-04-24 01:30:09Z,6,,,,,,
Audio,"Mars, Arlington  Street 1346354374, Laredo, MSR 0000",Vodafone,10.1103/691442,science,2323-4563,Cell-free fetal DNA for genetic evaluation in Copenhagen Pregnancy Loss Study (COPL): a prospective cohort study,Cell-free fetal DNA for genetic evaluation in Copenhagen Pregnancy Loss Study (COPL): a prospective cohort study,2023-02-02 12:39:16Z,7,,,,,,
Digital,"Danone, Rosewood Grove 2013870839, Lisbon, RWA 0000",DynCorp,10.1806/236977,science,0000-0035,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,2019-12-01 19:12:05Z,8,,,,,,
Digital,"Demaco, Chesterfield  Lane 264538357, Bridgeport, BGR 0000",Boeing,10.2817/21390,medicine,0000-0027,"Depressive Symptoms and Behavior-Related Risk Factors, Italian Population-Based Surveillance System","Depressive Symptoms and Behavior-Related Risk Factors, Italian Population-Based Surveillance System",2009-09-06 03:32:53Z,9,,,,,,
Audio,"Team Guard SRL, Coalecroft  Route 702545536, Nashville, ARM 0000",ENEL,10.1746/008154,astrophysics,4732-9483,Simulation of the Solar Energetic Particle Event on 2020 May 29 Observed by Parker Solar Probe,Simulation of the Solar Energetic Particle Event on 2020 May 29 Observed by Parker Solar Probe,2023-02-01 08:40:37Z,10,,,,,,
Paper,"Apple Inc., Coborn  Drive 622968061, Innsbruck, MDG 0000",Telekom,10.1739/935699,science,0000-0108,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,Health-Related Quality of Life in the Aftermath of the L'Aquila Earthquake in Italy,2014-04-15 07:14:04Z,11,,,,,,
Paper,"Comodo, Bempton   Route 1464286765, Worcester, GNB 0000",BuzzFeed,10.1574/187176,medicine,2323-4563,Self-reported infl uenza vaccination uptake in people with chronic diseases: data from Progressi delle Aziende Sanitarie per la Salute in Italia (Passi) ,Self-reported infl uenza vaccination uptake in people with chronic diseases: data from Progressi delle Aziende Sanitarie per la Salute in Italia (Passi) ,1981-08-05 01:56:30Z,12,,,,,,
Audio,"Demaco, Kinglake  Walk 2141411193, Murfreesboro, CHL 0000",ENEL,10.9190/80932,medicind,0000-0507,Application of the varying coefficient model to the behaviour risk factor surveillance data in Italy: a study of changing smoking prevalence among sub-populations,Application of the varying coefficient model to the behaviour risk factor surveillance data in Italy: a study of changing smoking prevalence among sub-populations,2006-03-13 15:38:45Z,13,,,,,,
Audio,"Apple Inc., Beaconsfield  Walk 1981735125, Fort Lauderdale, JPN 0000",Global Print,10.9544/64108,astrophysics,4732-9483,Optical Flux and Spectral Variability of BL Lacertae during Its Historical High Outburst in 2020,Optical Flux and Spectral Variability of BL Lacertae during Its Historical High Outburst in 2020,2023-06-28 01:58:44Z,14,,,,,,
Digital,"Boeing, Calverley  Grove 1492377404, Berna, SRB 0000",Erickson,10.5514/41320,astrophysics,0000-0507,The Fermi Paradox Revisited: Technosignatures and the Contact Era,The Fermi Paradox Revisited: Technosignatures and the Contact Era,2022-03-15 08:31:06Z,15,,,,,,
Paper,"21st Century Fox, Cheney  Vale 35383176, Springfield, QAT 0000",Telekom,10.2116/656830,medicine,0000-0078,Compliance with the smoking ban in Italy 8 years after its application,Compliance with the smoking ban in Italy 8 years after its application,1989-10-24 15:00:47Z,16,,,,,,
Audio,"Erickson, Amwell    Drive 1744460860, Oklahoma City, CHN 0000",ENEL,10.7489/99044,medicine,0000-0043,Field substitution of nonresponders can maintain sample size and structure without altering survey estimates - the experience of the Italian behavioral risk factors surveillance system (Passi),Field substitution of nonresponders can maintain sample size and structure without altering survey estimates - the experience of the Italian behavioral risk factors surveillance system (Passi),2009-03-22 00:43:40Z,17,,,,,,
Paper,"AECOM, Black Swan  Rue 1565215511, Boston, DJI 0000",AECOM,10.1519/058803,medicine,0000-0051,Psychopathological chronic sequelae of the 2009 earthquake in L'Aquila,Psychopathological chronic sequelae of the 2009 earthquake in L'Aquila,1988-10-16 20:34:40Z,18,,,,,,
Audio,"Erickson, Sherwood  Street 779825862, Memphis, ROU 0000",21st Century Fox,10.1884/365423,medicine,0000-006X,"Surveillance of perceptions, knowledge, attitudes and behaviors of the Italian adult population (18–69 years) during the 2009–2010 A/H1N1 influenza pandemic","Surveillance of perceptions, knowledge, attitudes and behaviors of the Italian adult population (18–69 years) during the 2009–2010 A/H1N1 influenza pandemic",1983-08-06 06:29:50Z,19,,,,,,
Audio,"Mars, Bliss  Lane 770059760, Wien, UZB 0000",It Smart Group,10.2129/606448,medicine,0000-0027,Features and Initial Assessment of the Italian Behavioral Risk Factor Surveillance System (Passi),Features and Initial Assessment of the Italian Behavioral Risk Factor Surveillance System (Passi),1995-10-02 22:48:39Z,20,,,,,,
Digital,"Global Print, Cedarne  Tunnel 365306621, Fayetteville, GNB 0000",Carrefour,10.3627/79092,medicine,0000-0078,Depressive symptoms among adults 18–69 years in Italy: results from the Italian behavioural risk factor surveillance system,Depressive symptoms among adults 18–69 years in Italy: results from the Italian behavioural risk factor surveillance system,1980-03-12 04:14:11Z,21,,,,,,
Audio,"Carrefour, Collingwood  Alley 245241026, Philadelphia, GUM 0000",Facebook,10.1751/447769,medicine,2323-4563,Social determinants effects from the Italian risk factor surveillance system Passi,Social determinants effects from the Italian risk factor surveillance system Passi,1988-02-13 22:33:08Z,22,,,,,,
Audio,"Apple Inc., Blake  Road 380656292, Memphis, ZMB 0000",Demaco,10.1132/937538,medicine,0000-040X,"Smoking prevalence among healthcare workers in Italy, PASSI surveillance system data, 2014-2018","Smoking prevalence among healthcare workers in Italy, PASSI surveillance system data, 2014-2018",1982-05-29 04:27:40Z,23,,,,,,
Audio,"Metro Cash&Carry, Apostle  Grove 1388668678, San Antonio, FIN 0000",Facebook,10.2037/635405,medicine,0000-0086 ,La prevalenza dell’abuso di alcol tra i lavoratori in Italia,La prevalenza dell’abuso di alcol tra i lavoratori in Italia,2020-05-09 14:58:18Z,24,,,,,,
Digital,"Apple Inc., Castle Alley 1528973417, Lyon, IMN 0000",Carrefour,10.1172/078036,medicine,0000-0167,Health indicators in the time of crisis in Italy,Health indicators in the time of crisis in Italy,2002-11-08 10:33:49Z,25,,,,,,
Digital,"Leadertech Consulting, Collingwood  Lane 904697868, Dallas, ESP 0000",UPC,10.1354/065441,medicine,0000-0094,"Depressive symptoms, a challenge for the community of L'Aquila after the earthquake of 2009","Depressive symptoms, a challenge for the community of L'Aquila after the earthquake of 2009",2020-04-04 18:49:34Z,26,,,,,,
Audio,"Facebook, Union  Way 1281926279, Irving, KEN 0000",Metro Cash&Carry,10.1100/342249,medicine,0000-0094,Before and after the earthquake of L'Aquila (Central Italy): epidemiological surveillance experiences in the post-seismic period in Italy,Before and after the earthquake of L'Aquila (Central Italy): epidemiological surveillance experiences in the post-seismic period in Italy,1992-07-09 08:43:01Z,27,,,,,,
Digital,"Coca-Cola Company, Coley  Way 181987406, Baltimore, HTI 0000",Zepter,10.1630/371492,medicine,0000-0094,Epidemiological Surveillance: moving towards new objectives,Epidemiological Surveillance: moving towards new objectives,2015-07-04 22:43:35Z,28,,,,,,
Paper,"Zepter, Elgood   Road 1893760456, San Francisco, ALB 0000",Carrefour,10.9287/39859,statistic,0000-0094,Fattori di rischio comportamentali all’Aquila 3-5 anni dopo il terremoto del 2009,Fattori di rischio comportamentali all’Aquila 3-5 anni dopo il terremoto del 2009,2002-01-22 20:51:17Z,29,,,,,,
Audio,"DynCorp, Birkenhead   Pass 530029244, Indianapolis, TLS 0000",Coca-Cola Company,10.1250/326157,medicine,0000-0094,"Cancer screening uptake: association with individual characteristics, geographic distribution, and time trends in Italy","Cancer screening uptake: association with individual characteristics, geographic distribution, and time trends in Italy",1988-09-26 10:39:50Z,30,,,,,,
Audio,"Areon Impex, Birkbeck  Way 1445852015, Las Vegas, SUR 0000",Boeing,10.1470/947973,medicine,0000-0108,Disuguaglianze e fattori comportamentali delle donne che non eseguono gli screening di prevenzione oncologica,Disuguaglianze e fattori comportamentali delle donne che non eseguono gli screening di prevenzione oncologica,2007-05-09 21:16:46Z,31,,,,,,
Audio,"Team Guard SRL, Endsleigh  Alley 321586299, Philadelphia, COD 0000",Team Guard SRL,10.1207/275333,statistic,0000-0108,Il gioco d’azzardo nella Provincia Autonoma di Trento: sperimentazione di un modulo aggiuntivo Passi (2014),Il gioco d’azzardo nella Provincia Autonoma di Trento: sperimentazione di un modulo aggiuntivo Passi (2014),2004-09-13 10:44:01Z,32,,,,,,
Digital,"It Smart Group, Babmaes    Vale 220621817, Richmond, PAK 0000",Comcast,10.1994/990594,psycology,0000-0108,Confronto tra due test per la sorveglianza dei sintomi depressivi nella popolazione,Confronto tra due test per la sorveglianza dei sintomi depressivi nella popolazione,2002-07-20 02:48:22Z,33,,,,,,
Paper,"Coca-Cola Company, Unwin  Rue 1883811008, Moreno Valley, KWT 0000",AECOM,10.5129/53411,psycology,0000-0108,Sintomi depressivi nella popolazione adulta 18-64 anni in Italia: i dati del Sistema di sorveglianza Passi,Sintomi depressivi nella popolazione adulta 18-64 anni in Italia: i dati del Sistema di sorveglianza Passi,1982-01-09 16:57:39Z,34,,,,,,
Audio,"Mars, Eldon  Walk 787715262, Baltimore, FIN 0000",Areon Impex,10.7636/46129,statistic,0000-0108,Quattro Passi con Markov - Modello a 4 stati per valutare l'impatto di interventi sul fumo partendo dai dati Passi ,Quattro Passi con Markov - Modello a 4 stati per valutare l'impatto di interventi sul fumo partendo dai dati Passi ,1989-09-17 09:20:13Z,35,,,,,,  
Paper,"AECOM, Birkin   Crossroad 665446465, Berna, KAZ 0000",Boeing,10.6125/27695,statistic,0000-0108,Promozione della sicurezza e percezione del rischio in ambito lavorativo. I dati della sorveglianza Passi 2010-11 ,Promozione della sicurezza e percezione del rischio in ambito lavorativo. I dati della sorveglianza Passi 2010-11 ,2001-12-25 21:56:26Z,36,,,,,,
Paper,"Coca-Cola Company, Egerton  Way 250692719, Berlin, MLI 0000",Biolife Grup,10.1233/583188,medicin,0000-0108,La salute degli immigrati nella Asl 4 di Terni: alcune indicazioni dalla sorveglianza Passi 2007-2010,La salute degli immigrati nella Asl 4 di Terni: alcune indicazioni dalla sorveglianza Passi 2007-2010,1982-06-14 08:19:44Z,37,,,,,,
Paper,"Demaco, Timber   Alley 1996365214, Quebec, NCL 0000",Comcast,10.4592/04554,medicin,0000-0108,"Fattori di rischio comportamentali nelle malattie respiratorie croniche, Italia (2007-09) ","Fattori di rischio comportamentali nelle malattie respiratorie croniche, Italia (2007-09) ",1988-04-26 12:51:14Z,38,,,,,,
Audio,"Telekom, Sheringham   Tunnel 621055494, Springfield, NER 0000",Biolife Grup,10.6454/37655,statistic,0000-0108,Promozione della sicurezza e percezione del rischio in ambito lavorativo. I dati della sorveglianza Passi 2010-11 ,Promozione della sicurezza e percezione del rischio in ambito lavorativo. I dati della sorveglianza Passi 2010-11 ,1988-01-22 20:57:18Z,39,,,,,,
Paper,"Danone, Billing  Street 1373105014, Lincoln, CIV 0000",ENEL,10.1064/119806,statistic,0000-0094,Salute e sanità a 150 anni dall’unità d’Italia,Salute e sanità a 150 anni dall’unità d’Italia,2007-08-02 13:50:54Z,40,,,,,,
Audio,"Danone, 6842, Heritage Route ,7288, Hayward",DynCorp,10.1442/420908,physics,3268-7567,New technologies for renewable energy,New technologies for renewable energy,2005-06-06 19:28:36Z,1131377054,,,,,,
Paper,"Global Print, 5700,  Wager   Hill ,  5775, Cincinnati",Facebook,10.5915/96618,physics,4682-3913,The structure of written graphene-based materials,The structure of written graphene-based materials,2012-12-07 13:32:33Z,2077133912,,,,,,
Digital,"Global Print, 6763, Camley   Lane ,  3028 ,Albuquerque",Zanichelli,10.4339/03746,medicine,2323-4563,The effectiveness of flu vaccines,The effectiveness of flu vaccines,2016-12-10 10:08:28Z,1354153544,,,,,,
Audio,"Danone, 7704,Meadow Crossroad ,  0613 ,Madrid",Boeing,10.1232/361857,chemestry,8748-3742 ,The identification of a new regulating mechanism of cell growth,The identification of a new regulating mechanism of cell growth,2018-06-02 02:05:17Z,759559930,,,,,,
Digital,"Demaco, 470, Liverpool  Drive ,  5520 ,Zurich",Coca-Cola Company,10.6923/55729,medicine,2323-4563,The results of a clinical trial of a new drug for type 2 diabetes,The results of a clinical trial of a new drug for type 2 diabetes,2015-04-21 20:29:05Z,1923486047,,,,,,
Digital,"Danone, 9642, Fair Drive ,  2115 , Cincinnati",Team Guard SRL,10.1668/223239,science,3268-7567,Data analysis of a survey on lifestyles and mental health,Data analysis of a survey on lifestyles and mental health,2014-05-15 20:49:52Z,715238109,,,,,,
Paper,"DynCorp, 1717, King Edward  Lane ,  4585 ,Bakersfield",AECOM,10.1546/561529,science,3268-7567,The conservation of biodiversity,The conservation of biodiversity,2011-06-12 16:02:39Z,573866796,,,,,,
Digital,"Danone, 1706, Vintners  Drive,  0117 , Anaheim",UPC,10.2384/23093,astrophysics,4732-9483,The discovery of a new distant galaxy,The discovery of a new distant galaxy,1981-06-22 01:36:43Z,928594186,,,,,,
Audio,"Vodafone, 3228,Cingworth  Drive , 5753 ,Nashville",Erickson,10.4489/65722,astrophysics,4732-9483,The formation of stars and galaxies ,The formation of stars and galaxies ,2007-08-31 18:37:00Z,1017771232,,,,,,
